Name of Company,Account no (obitrax generated),Phone number,Address,Company City,Company State,Primary contact first name,Primary contact last name,Primary contact phone number,Email address
AIDS PREVENTION INITIATIVE IN NIGERIA - LAGOS                                                                                                                                                           ,3013010014,014615432           ,"1,AbebeVillage,Iganmu,Lagos",SURULERE                                ,LAGOS,APIN                          ,LAGOS                         ,'08000000000,aadurotoye@apin.org.ng                                                                                                                                                                                  
Nigerian Bag Manufacturing Co. Plc                                                                                                                                                                      ,3013010015,'08000000000,"GilgalComplex,95,WesternAvenue,Lagos",IGANMU                                  ,LAGOS,Nigerian Bag Manufacturing Co.,Iganmu                        ,'08000000000,noemailaddress@thiscorporate.com
DE UNITED FOODS INDUSTRIES LIMITED (INDOMIE)                                                                                                                                                            ,3013010016,08058280210         ,"45,EricMooreRoadIganmu,Lagos-Nigeria.",SURULERE                                ,LAGOS,DE UNITED FOODS               ,LAGOS                         ,'08000000000,noemailaddress@thiscorporate.com
SAPID HOLDINGS LIMITED                                                                                                                                                                                  ,3013010017,017940464           ,"44,EricMoreRoad,Lagos.",SURULERE                                ,LAGOS,WILLIAMS I.                   ,NKEMDIRIM                     ,'08000000000,edwin@sapidholdings.com                                                                                                                                                                                 
LANGE AND GRANCT COMMODITIES LTD.                                                                                                                                                                       ,3013010018,'08000000000,"11,OlajumokeObasaClose,Lagos.",SURULERE                                ,LAGOS,TUNDE                         ,OKOYA                         ,08025299917         ,samuel.odunaya@langeandgrant.net                                                                                                                                                                        
ORIGIN GROUP                                                                                                                                                                                            ,3013010019,08100444448         ,"52/53,AkanbiOnitiriClose,EricMoore,Lagos.",SURULERE                                ,LAGOS,IBRAHIM                       ,YAKUBU                        ,07039521520         ,otono.ikiebe@origingroupng.com                                                                                                                                                                          
P.W NIGERIAL LTD                                                                                                                                                                                        ,3013010020,'08000000000,"Plot33,ImamDaudaStreet,OffEricMoore,Lagos.",SURULERE                                ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
GRACE DRUGS & HEALTHCARE LTD.                                                                                                                                                                           ,3013010021,08086668960         ,Lagos,SURULERE                                ,LAGOS,MARIA                         ,ADENIYI - THOMPSON            ,08038024483         ,noemailaddress@thiscorporate.com
CRANES 'R' US NIGERIA LTD                                                                                                                                                                               ,3013010022,017743355           ,"1A,OgunlanaDrive",IGANMU                                  ,LAGOS,MANOU                         ,SUCHDEV                       ,'08000000000,scholar@cranes-r-us.com                                                                                                                                                                                 
UNIMART LIMITED                                                                                                                                                                                         ,3013010023,07062250734         ,"Plot9,EricMooreRoad,Lagos",SURULERE                                ,LAGOS,ADETOKUNBO                    ,ADEBUTU                       ,'08000000000,logistics@olori.com.ng                                                                                                                                                                                  
BG PHARMA & HEALTHCARE LTD                                                                                                                                                                              ,3013010024,08033115234         ,"112,FunshoWilliamsAvenueLagos.",SURULERE                                ,LAGOS,OGUCHI                        ,CHUKWUMA                      ,'08000000000,info4bgpharma@rocketmail.com                                                                                                                                                                            
VOGUEIN INTERNATIONAL LTD.                                                                                                                                                                              ,3013010025,08170000190         ,"19,SavannahStreet,OffAdetolaAguda",SURULERE                                ,LAGOS,OLUKEMI CHARLES               ,UGBECHIE                      ,'08000000000,vogueinternational@gmail.com                                                                                                                                                                            
TPN LTD                                                                                                                                                                                                 ,3013010026,08034930112         ,"16,OdedolaStreet,OffNnobiSurulere,Lagos.",SURULERE                                ,LAGOS,JAMES                         ,AKINLABI                      ,'08000000000,INFO@TPN-NIGERIA.COM                                                                                                                                                                                    
BEEBEE COLLECTION LTD / PERFECT CURVE                                                                                                                                                                   ,3013010027,08096510696         ,"10,AbebeVillageRd,Iganmu-Lagos.",SURULERE                                ,LAGOS,BUKOLA                        ,OLADEJI                       ,'08000000000,PERFECTCURVEWELLNESS@GMAIL.COM                                                                                                                                                                          
KVAR WEST AFRICA LTD                                                                                                                                                                                    ,3016010035,08065475542         ,Perfectcurvewellness@Gmail.Com,LEKKI                                   ,LAGOS,COLLINS                       ,EAGLE                         ,'08000000000,stit.limited@gmail.com                                                                                                                                                                                  
PAASAM TECHNICAL SERVICES NIG. LTD.                                                                                                                                                                     ,3018010003,'08000000000,"2NdFl,ProvidenceHouse,AdmiraltyWay,LekkiPhase1",IPAJA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
BICUSHELIVES NIG. VEN                                                                                                                                                                                   ,7060010040,08036762041         ,"6,KareemBankoleStreet,OffCandosRoad,Baruwa-Ipaja,Lagos.",UGHELLI                                 ,DELTA,ODI HOSEA                     ,ONORIODE                      ,'08000000000,SALVATIONHOSEA@GMAIL.COM                                                                                                                                                                                
STARCOMMS PLC - UMUAHIA                                                                                                                                                                                 ,7010010002,'08000000000,LeadwayAssurance,UMUAHIA                                 ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
EMERSON BLESSED PHARM. COMPANY LTD.                                                                                                                                                                     ,7010010003,08037127955         ,AbiaState,UMUAHIA                                 ,ABIA,BLESSED                       ,N.                            ,'08000000000,blessed002@yahoo.com                                                                                                                                                                                    
Ardyss International Inc                                                                                                                                                                                ,9010010001,002347024071751     ,"31,Lagos.Street,","HENDERSON,NV                            ",,Denisse                       ,Valenzuela                    ,'08000000000,denisse@ardyss.com                                                                                                                                                                                      
GLAMVEE KIDDIES                                                                                                                                                                                         ,1200000014,08125168905         ,"470,MirrorCourtUnit106Henderson,Nv",UYO                                     ,AKWA IBOM,VICTORIA                      ,EKPOH                         ,'08000000000,Victoria_itoro@yahoo.com                                                                                                                                                                                
EiA SHOES - (EDIOMO AKPAN-EBE)                                                                                                                                                                          ,1200000241,08108758490         ,"144Udo-UmanaStreet,UyoAkwa-Ibom",UYO                                     ,AKWA IBOM,EDIOMO                        ,AKPAN-EBE                     ,'08000000000,eiashoes@yahoo.com                                                                                                                                                                                      
IBOMSTORE AND TRADE                                                                                                                                                                                     ,1200000306,08161103322         ,32ObioImoStreetByAfiaEtoiLaneUyoAkwaIbomState,UYO                                     ,AKWA IBOM,Mfonini                       ,Usoro                         ,'08000000000,Mfonini4u@gmail.com                                                                                                                                                                                     
ST. ALEXANDER VENTURES - (ALEX OKOH)                                                                                                                                                                    ,1200000315,08167772885         ,"11IbokoStreet,OffAbakRoad,Uyo",UYO                                     ,AKWA IBOM,ALEX                          ,OKOH                          ,08058750800         ,princealexinokoh@yahoo.com                                                                                                                                                                              
SMART AND TRENDY STORES - (AWURUMIBE CHIMEZIE SAMUEL)                                                                                                                                                   ,1200000316,08032292558         ,"24AtikuAbubakar,UyoAkwaIbomState",UYO                                     ,AKWA IBOM,AWURUMIBE                     ,CHIMEZIE SAMUEL O             ,'08000000000,INFO.SMARTANDTRENDY@GMAIL.COM                                                                                                                                                                           
FRESH ACCESSORIES - (AGBOOLA TEMITOPE)                                                                                                                                                                  ,1200000328,08034251000         ,"294,OronRoad,AkwaIbomState",UYO                                     ,AKWA IBOM,TEMITOPE                      ,AGBOOLA                       ,'08000000000,Agboola.temitope@gmail.com                                                                                                                                                                              
IMA ENTERPRISE - (DICKSON EKWERE)                                                                                                                                                                       ,1200000330,07032878585         ,5BarracksRoadUyoAkwa-IbomState,UYO                                     ,AKWA IBOM,DICKSON                       ,EKWERE                        ,'08000000000,dickekwere@gmail.com                                                                                                                                                                                    
CHAMPION BREWERIES - UYO                                                                                                                                                                                ,7020010006,'08000000000,"142AkaRoadUyo,AkwaIbomState",UYO                                     ,AKWA IBOM,CHAMPION BREWERIES PLC        ,UYO                           ,'08000000000,noemailaddress@thiscorporate.com
NSIK MOTOR'S LIMITED                                                                                                                                                                                    ,7020010007,'08000000000,AkwaIbomState,UYO                                     ,AKWA IBOM,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ALTECON NIGERIA LIMITED                                                                                                                                                                                 ,7020010008,08069189609         ,"108IkotEkpeneRoad,UyoAkwaIbomState",EKET                                    ,AKWA IBOM,SIMON                         ,JOHN                          ,'08000000000,alteconventures1@yahoo.com                                                                                                                                                                              
Sustineo Magnus Limited                                                                                                                                                                                 ,1200000308,08097977158         ,"1,HospitalLane,",VICTORIA ISLAND                         ,LAGOS,Ibikunle                      ,Bolorunduro                   ,08060554609         ,Management@sustineomagnus.com                                                                                                                                                                           
NIGER DELTA PETROLEUM RESOURCES LIMITED                                                                                                                                                                 ,3020010103,'08000000000,"181KofoAbayomiStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ATC NIG                                                                                                                                                                                                 ,3030010032,'08000000000,"15FestivalRoad,Lagos",IKOYI                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
BAJEIID COMMUNICATIONS LIMITED                                                                                                                                                                          ,3040010023,08032035454         ,39AlfredRewaneRoadGroundFloorMullinerTowersIkoyiLagos,ILUPEJU                                 ,LAGOS,BAJEIID COMM LTD              ,ILUPEJU                       ,'08000000000,info@bajeiid.com                                                                                                                                                                                        
Stellar Express Nigeria Limited                                                                                                                                                                         ,3060010029,002348079218975     ,"28,MichaelAdekoyaStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,Segun                         ,Adebisi                       ,002348079218975     ,olusegun.adebisi@stellar-africa.com                                                                                                                                                                     
Stellar Express Nigeria Limited - Clearing                                                                                                                                                              ,3060010030,'08000000000,"4ThFloor,DreamPlazaBuilding.No.7BishopAboyadeColeStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
EQUATOR CAPITAL LIMITED - LAGOS                                                                                                                                                                         ,3090010001,08023293870         ,"4ThFloor,DreamPlazaBuilding.No.7BishopAboyadeColeStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,ABIOLA                        ,EDEKO                         ,08023293870         ,AEDEKO@EQUATORCAPITALNG.COM                                                                                                                                                                             
ZENITH REGISTRARS LIMITED (D / W)                                                                                                                                                                       ,3090010002,'08000000000,"Plot154,PrinceAdeOdedinaStreet,OffAjoseAdeogun,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
IEI (ASSETS) LIMITED                                                                                                                                                                                    ,3090010003,'08000000000,"89A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
PAULIZA LIMITED                                                                                                                                                                                         ,3090010005,'08000000000,"170,MoshoodOlugbaniStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,Christiana                    ,Antigba                       ,'08000000000,cantigba@pauliza.net                                                                                                                                                                                    
ZENITH REGISTRARS LIMITED (CERTIFICATE)                                                                                                                                                                 ,3090010006,'08000000000,"182,MoshoodOlugbaniStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ZENITH REGISTRARS LTD (RTM)                                                                                                                                                                             ,3090010008,'08000000000,"89A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
RAYNOLDS CONSTRUCTION COMPANY                                                                                                                                                                           ,3090010009,'08000000000,"89A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ZENITH REGISTRARS LTD (DOCUMENTS)                                                                                                                                                                       ,3090010010,'08000000000,"82A,YounisBashorunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ZENITH REGISTRARS LIMITED - BULK                                                                                                                                                                        ,3090010015,'08000000000,"89A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
INTERNET SOLUTIONS NIG. LTD. (FORMER ACCELON)                                                                                                                                                           ,3090010018,'08000000000,"89A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,kayode                        ,olopade                       ,'08000000000,kayode.olopade@ng.is.co.za                                                                                                                                                                              
ARTEZIA SECURITY SYSTEMS LTD                                                                                                                                                                            ,3090010019,'08000000000,"3B,LigaliAyorindeStreet",VICTORIA ISLAND                         ,LAGOS,ADESOLA                       ,SOYEMI                        ,08027070700         ,noemailaddress@thiscorporate.com
MAIN ONE SERVICE COMPANY LTD                                                                                                                                                                            ,3090010031,'08000000000,"215A,EtimInyangCrescent,",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
IEI PLC                                                                                                                                                                                                 ,3090010037,'08000000000,"168B,MoshoodOlugbaniStreet,OffLigaliAyorinde,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
SOVEREIGN TRUST INSURANCE                                                                                                                                                                               ,3090010064,'08000000000,"294JideOkiStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,SOVEREIGN TRUST               ,LTD                           ,'08000000000,noemailaddress@thiscorporate.com
TOTAL E & G                                                                                                                                                                                             ,3090010076,'08000000000,35AdetokumboAdemolaStrLagos,VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
CFS WEST AFRICA LIMITED                                                                                                                                                                                 ,3090010088,'08000000000,"KofoAbayomiStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,CFS WEST AFRICA LTD           ,VI                            ,'08000000000,info@cfs-westafrica.com                                                                                                                                                                                 
ELEME PETROCHEMICALS COMPANY LIMITED                                                                                                                                                                    ,3090010090,'08000000000,"33A,BishopAboyadeColeStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,VIVEC                         ,GOPAL SHARAN                  ,08055070273         ,vgsharan@indorama.com.ng                                                                                                                                                                                
C2G CONSULTING LIMITED                                                                                                                                                                                  ,3090010101,014610792           ,"ZenonHouse,2,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,C2G CONSULTING LTD            ,VI                            ,'08000000000,noemailaddress@thiscorporate.com
MIKADO NIGERIA LIMITED                                                                                                                                                                                  ,3090010103,'08000000000,"259,EtimInyangCrescent,Lagos.",VICTORIA ISLAND                         ,LAGOS,MIKADO NIG LTD                ,VI                            ,'08000000000,noemailaddress@thiscorporate.com
VISAFONE COMMUNICATIONS LIMITED                                                                                                                                                                         ,3090010104,07025551411         ,"206A,MuriOkunolaStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,VISAFONE COMM. LTD.           ,VI                            ,'08000000000,noemailaddress@thiscorporate.com
PRESTIGE ASSURANCE PLC                                                                                                                                                                                  ,3090010106,014610641           ,"6ThFloor,ZenonBuilding,AjoseAdeogunStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,MR                            ,IZUWA                         ,'08000000000,info@prestigeassuranceplc.com                                                                                                                                                                           
SUNNET SYSTEMS & DATACOM SERVICES LIMITED                                                                                                                                                               ,3090010107,012710451           ,"19,LigaliAyorindeStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,PAUL                          ,OLAGUNJU                      ,'08000000000,info@sunnetsystems.net                                                                                                                                                                                  
PRIME ATLANTIC GLOBAL INSTRUMENTS LIMITED                                                                                                                                                               ,3090010113,014606130           ,"14,BalarabeMusaCrescent,Lagos.",VICTORIA ISLAND                         ,LAGOS,AYO                           ,OTUYALE                       ,'08000000000,ivy.ekuerhare@pagi-ng.com                                                                                                                                                                               
AVIAT NETWORKS (GENERAL)                                                                                                                                                                                ,3090010115,'08000000000,"9,YounisBashorunStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
AVIAT NETWORKS (IT)                                                                                                                                                                                     ,3090010116,'08000000000,"Plot21AhmedOnibudoStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
PINTAR SERVICES NIG. LTD.                                                                                                                                                                               ,3090010117,012701397           ,"Plot21AhmedOnibudoStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,EDDY                          ,DAHDOUH                       ,012629551           ,sales@pintarservices.com                                                                                                                                                                                
INTERNATIONAL EROSION CONSTRUCTION SOLUTION LTD (IECS)                                                                                                                                                  ,3090010119,013422747           ,"1C,AkinOgunleweStreet,OffLigaliAyorinde,Lagos.",VICTORIA ISLAND                         ,LAGOS,PAUL                          ,E. OBI                        ,'08000000000,edorobi@iecs.com                                                                                                                                                                                        
CONCERT ALLIANCE LTD                                                                                                                                                                                    ,3090010120,012701186           ,"182,MoshoodOlugbaniStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,NELSON                        ,Izevbogie                     ,'08000000000,info@concertallianceng.com                                                                                                                                                                              
Lamore Chaussure Limited                                                                                                                                                                                ,3090010122,08188069367         ,"182,MoshoodOlugbaniStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,BABATUNDE                     ,HUSSAIN                       ,'08000000000,noemailaddress@thiscorporate.com
PRIME ATLANTIC LIMITED                                                                                                                                                                                  ,3090010123,014606130           ,"21AhmedOnibudoStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,ADEKUNLE                      ,ADEYEMI                       ,'08000000000,ben.oranyili@primeatlanticnigeria.com                                                                                                                                                                   
MERRY AVIATION COMMUNICATIONS ELECTRONICS NIG. LTD                                                                                                                                                      ,3090010124,08057755888         ,"9,YounisBashorunStr,OffAjoseAdeogun,Lagos.",VICTORIA ISLAND                         ,LAGOS,MAHAVEER PRASAD               ,SONI                          ,'08000000000,macenigeria@yahoo.com                                                                                                                                                                                   
EMERSON PROCESS MANAGEMENT NIGERIA LTD                                                                                                                                                                  ,3090010127,08109643836         ,"Suite133,EdoHouse,AhmaduBelloWay,Lagos.",VICTORIA ISLAND                         ,LAGOS,SONOLA                        ,EBUNLOMO                      ,08101057722         ,process.nigeria@emerson.com                                                                                                                                                                             
HERITAGE BANK                                                                                                                                                                                           ,3090010131,'08000000000,"7ThFloor,ChurchgateTowers(2)Pc31Lagos",VICTORIA ISLAND                         ,LAGOS,APPROVED VIA MEMO             ,APPROVED VIA MEMO             ,'08000000000,noemailaddress@thiscorporate.com
AVILION CONSULTING SERVICES LIMITED                                                                                                                                                                     ,3090010133,07051455404         ,"292,AjoseAdeogun,Lagos.",LAGOS                                   ,LAGOS,O.                            ,ADELEYE                       ,'08000000000,AVILIONCONSULTING@GMAIL.COM                                                                                                                                                                             
ARCO GROUP PLC                                                                                                                                                                                          ,3090010134,014605490           ,"48,ObafalabiStreet,",VICTORIA ISLAND                         ,LAGOS,EDWARD                        ,IDIALU                        ,08033349281         ,CORPORATE@ARCOGROUP-NIGERIA.COM                                                                                                                                                                         
LE BLEU VENTURES LTD (KAMKPE.COM)                                                                                                                                                                       ,3090010135,08105517919         ,"Plot868,BishopAboyadeColeStreet,Lagos.",VICTORIA ISLAND                         ,LAGOS,ALENUTE                       ,DAVID                         ,07034381353         ,DAVID.ALENKHE@LBV.COM.NG                                                                                                                                                                                
THE BRIDGE CLINIC                                                                                                                                                                                       ,3020010095,08104607790         ,"6B,BendelClose,OffBishopAboyadeCole,Lagos.",IKEJA                                   ,LAGOS,OLUFEMI                       ,ASHAJU                        ,'08000000000,abdulwaheedo@thebridgeclinic.com                                                                                                                                                                        
TQBUSINESS BUSINESS CONSULT                                                                                                                                                                             ,3040010025,08028310924         ,"66,OduduwaWay,GraIkeja,Lagos.",ILUPEJU                                 ,LAGOS,ADESUWA                       ,UJIADUGHELE                   ,'08000000000,tqbusinessconsult@yahoo.com                                                                                                                                                                             
I-SKILL LIMITED                                                                                                                                                                                         ,3090010004,'08000000000,"30B,CokerRoad,ByGboladeAdebanjo,Lagos.",VICTORIA ISLAND                         ,LAGOS,Nicholas                      ,Uzomba                        ,'08000000000,nicholas@i-skillng.com                                                                                                                                                                                  
CES NIG. LTD (ATLAS INT'L ENGINEERING)                                                                                                                                                                  ,3090010011,'08000000000,"290A,AjoseAdeogunStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,NOTIQ                         ,MUSTAPHA                      ,08023159526         ,noemailaddress@thiscorporate.com
THE LAGOS CHAMBER OF COMMERCE & IND.                                                                                                                                                                    ,3090010012,017746617           ,"Plot298A,JideOkiStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,THE LAGOS CHAMBER OF COMMERCE ,AND INDUSTRY                  ,'08000000000,lcci@lagoschamber.com                                                                                                                                                                                   
KIMBERLY RYAN                                                                                                                                                                                           ,3090010014,'08000000000,"1,IdowuTaylorStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,BUNMI                         ,NWABUEZE                      ,07060543609         ,BUNMI.NWABUEZE@KIMBERLYRYAN.NET                                                                                                                                                                         
SOLID HOME LIMITED                                                                                                                                                                                      ,3090010017,'08000000000,"4B,LouisSolomonclose,Lagos",YABA                                    ,LAGOS,ABIODUN                       ,a.                            ,08035152244         ,noemailaddress@thiscorporate.com
ARDENT ENERGY SERVICES LTD                                                                                                                                                                              ,3090010020,'08000000000,"50,HughesAveAlagomeji-Lagos",VICTORIA ISLAND                         ,LAGOS,ADEYEMI                       ,BODE                          ,08023744333         ,noemailaddress@thiscorporate.com
CARDCENTRE NIGERIA LIMITED                                                                                                                                                                              ,3090010024,'08000000000,"10B,FestivalRoad,Lagos",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
DORI CONSTRUCTION ENGINEERING NIG. LTD                                                                                                                                                                  ,3090010025,'08000000000,"8,LouisSolomonClose,Lagos",VICTORIA ISLAND                         ,LAGOS,IDOWU                         ,A.M                           ,08060735132         ,noemailaddress@thiscorporate.com
SWIFT OIL AND GAS                                                                                                                                                                                       ,3090010026,0127994678          ,"Plot901(9)BalarabeMusaCrescent,Lagos",VICTORIA ISLAND                         ,LAGOS,SWIFT OIL AND GAS             ,VI                            ,'08000000000,all@swiftoilandgas.com                                                                                                                                                                                  
ICT CONNECT LTD. (HP EXPERIENCE STORE)                                                                                                                                                                  ,3090010027,'08000000000,"1690A,BuraimohKenkuStreet,Lagos",VICTORIA ISLAND                         ,LAGOS,KENNY                         ,HR/ADMIN                      ,07071149101         ,noemailaddress@thiscorporate.com
TELNET NIGERIA LIMITED                                                                                                                                                                                  ,3090010033,'08000000000,"13A,IdowuMartinsStreet,",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
SOFTWORKS LIMITED                                                                                                                                                                                       ,3090010034,'08000000000,"242,KofoAbayomiStreet",VICTORIA ISLAND                         ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
iTECO NIGERIA LIMITED - MAILS                                                                                                                                                                           ,3090010035,'08000000000,"Plot242,KofoAbayomiStreet",VICTORIA ISLAND                         ,LAGOS,Funke                         ,Adekanye                      ,'08000000000,fadekanye@iteco.com                                                                                                                                                                                     
OCEANIC HEALTH MANAGEMENT LIMITED                                                                                                                                                                       ,3090010036,'08000000000,"Plot242,KofoAbayomiStreet,Lagos",YABA                                    ,LAGOS,SEUN                          ,KOLAWOLE                      ,08023695024x        ,OIGSERVICECENTER@OCEANICBANKNIGERIA.COM                                                                                                                                                                 
